Date,Close
2/7/2018,12.33
2/8/2018,11.85
2/9/2018,11.96
2/12/2018,12.79
2/13/2018,12.61
2/14/2018,13.76
2/15/2018,13.8
2/16/2018,13.75
2/20/2018,14.28
2/21/2018,13.29
2/22/2018,13.42
2/23/2018,13.7
2/26/2018,13.63
2/27/2018,13.77
2/28/2018,13.82
3/1/2018,13.69
3/2/2018,13.68
3/5/2018,13.93
3/6/2018,14.15
3/7/2018,14.37
3/8/2018,14.74
3/9/2018,14.92
3/12/2018,14.82
3/13/2018,14.53
3/14/2018,14.63
3/15/2018,14.74
3/16/2018,14.72
3/19/2018,14.56
3/20/2018,15.31
3/21/2018,14.94
3/22/2018,14.55
3/23/2018,14.17
3/26/2018,13.67
3/27/2018,12.88
3/28/2018,12.16
3/29/2018,12.46
4/2/2018,12.21
4/3/2018,11.94
4/4/2018,12.07
4/5/2018,12.01
4/6/2018,11.74
4/9/2018,11.9
4/10/2018,12.29
4/11/2018,11.95
4/12/2018,12.08
4/13/2018,11.75
4/16/2018,11.69
4/17/2018,12.6
4/18/2018,12.76
4/19/2018,12.67
4/20/2018,12.68
4/23/2018,12.29
4/24/2018,12.31
4/25/2018,12
4/26/2018,12.42
4/27/2018,12.66
4/30/2018,13.36
5/1/2018,12.77
5/2/2018,12.48
5/3/2018,13.52
5/4/2018,13.61
5/7/2018,13.86
5/8/2018,14.33
5/9/2018,14.61
5/10/2018,14.62
5/11/2018,14.45
5/14/2018,14.26
5/15/2018,14.25
5/16/2018,14.23
5/17/2018,14.61
5/18/2018,14.71
5/21/2018,14.45
5/22/2018,13.88
5/23/2018,14.08
5/24/2018,14.31
5/25/2018,14.36
5/29/2018,14.33
5/30/2018,14.58
5/31/2018,14.81
6/1/2018,15.08
6/4/2018,15.69
6/5/2018,16.11
6/6/2018,16.54
6/7/2018,16.13
6/8/2018,16.28
6/11/2018,16.02
6/12/2018,16.52
6/13/2018,16.51
6/14/2018,16.79
6/15/2018,16.84
6/18/2018,17.28
6/19/2018,17.06
6/20/2018,17.23
6/21/2018,16.45
6/22/2018,16.25
6/25/2018,15.32
6/26/2018,15.5
6/27/2018,14.47
6/28/2018,14.66
6/29/2018,14.59
7/2/2018,14.94
7/3/2018,15.05
7/5/2018,15.27
7/6/2018,15.68
7/9/2018,15.85
7/10/2018,15.9
7/11/2018,16.1
7/12/2018,16.75
7/13/2018,16.62
7/16/2018,16.54
7/17/2018,16.9
7/18/2018,17.05
7/19/2018,17.18
7/20/2018,17.18
7/23/2018,17.33
7/24/2018,16.83
7/25/2018,17.38
7/26/2018,17.03
